State,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15
Connecticut,5,6,8,9,10,10,11,11,10,9,7,7,8,8,12,14,16,16,19,18,17,14
Maine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1
Massachusetts,24,28,38,43,49,46,51,60,53,44,32,35,36,39,55,63,70,68,77,73,65,52
New Hampshire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,2,2,3,3,3,3,4,4,3,2,2,2,2,3,4,5,6,6,6,6,6,4
New Jersey,65,74,97,102,113,113,118,110,97,85,66,66,66,75,98,108,119,117,125,118,102,88
New York,13,16,22,25,28,30,33,31,29,25,19,20,21,24,35,44,51,49,54,54,48,38
Pennsylvania,12,14,18,20,22,22,23,21,19,16,12,12,13,14,19,21,23,23,24,22,19,16
Illinois,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,3,3,3,3,2,2
Indiana,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Michigan,1,2,3,4,4,4,4,4,3,2,2,1,2,2,3,4,4,4,4,4,4,3
Ohio,3,4,6,7,8,8,8,8,7,5,4,3,4,5,7,8,9,10,10,9,8,7
Wisconsin,1,1,2,2,2,3,3,3,2,2,1,1,1,2,2,3,3,3,3,3,3,2
Iowa,1,1,1,2,2,2,2,2,2,2,2,1,2,2,3,3,4,4,4,4,4,3
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,3,3,3,3,3,2,2
Missouri,4,5,7,8,10,12,14,14,12,10,8,8,8,9,12,13,14,15,16,15,14,12
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,4,4,5,5,6,6,6,6,5,5,4,4,4,4,6,6,7,6,7,6,6,5
District Of Columbia,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2
Florida,7,7,9,9,10,9,9,9,8,9,8,8,10,10,13,14,15,14,14,14,13,13
Georgia,6,6,7,8,9,8,8,8,7,7,6,5,6,6,7,8,9,8,9,8,7,7
Maryland,12,13,17,18,20,21,22,21,18,17,14,14,13,14,20,24,27,25,27,28,25,22
North Carolina,5,5,6,7,7,7,7,7,6,6,5,5,5,6,7,9,9,9,9,9,8,7
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Virginia,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,4,4,5,6,6,6,6,6,5,5,4,3,4,4,5,6,6,6,6,6,5,5
Arkansas,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Louisiana,5,5,7,9,10,10,10,11,9,9,8,8,8,9,12,13,14,14,15,15,13,14
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,8,8,10,12,13,13,14,15,13,12,11,11,11,11,14,16,18,19,20,20,18,17
Arizona,60,59,76,80,86,83,79,81,80,81,75,76,68,74,96,107,114,111,108,106,98,94
Colorado,21,21,29,31,34,34,35,33,32,31,27,25,23,23,34,37,38,42,42,41,38,34
Idaho,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Montana,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Nevada,5,5,7,8,8,8,8,8,8,7,7,6,6,7,10,11,15,15,16,17,18,16
New Mexico,8,8,10,10,11,11,11,10,10,10,9,9,9,10,12,12,13,13,12,12,12,12
Utah,2,2,3,3,3,4,4,4,4,4,3,3,3,3,5,5,6,6,7,7,7,7
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,203,211,306,335,372,379,399,396,368,348,283,262,256,279,410,454,496,517,540,542,490,448
Oregon,3,4,6,7,8,9,10,10,9,6,3,3,3,5,7,9,10,12,13,12,11,7
Washington,1,2,2,3,4,4,4,4,4,2,1,1,1,2,3,5,5,6,7,7,6,4
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,36,36,43,46,49,50,51,51,47,44,39,40,41,41,49,53,56,57,59,58,53,50
