GPX,Type,Track
20140220-141528-Ride.gpx,Long Ride,track1
20140220-210904-Ride.gpx,Long Ride,track2
20140221-004842-Ride.gpx,Long Ride,track3
20140221-131812-Ride.gpx,Long Ride,track4
20140221-233400-Ride.gpx,Long Ride,track5
20140222-130910-Ride.gpx,Long Ride,track6
20140222-171334-Ride.gpx,Long Ride,track7
20140222-205944-Ride.gpx,Long Ride,track8
20140223-130529-Ride.gpx,Long Ride,track9
20140223-183625-Ride.gpx,Long Ride,track10
20140223-212634-Ride.gpx,Long Ride,track11
20140224-132614-Ride.gpx,Long Ride,track12
20140224-194240-Ride.gpx,Long Ride,track13
20140224-203554-Ride.gpx,Long Ride,track14
20140224-234710-Ride.gpx,Long Ride,track15
20140225-141758-Ride.gpx,Long Ride,track16
20140226-002934-Ride.gpx,Long Ride,track17
20140227-141534-Ride.gpx,Long Ride,track18
20140227-192342-Ride.gpx,Long Ride,track19
20140228-005028-Ride.gpx,Long Ride,track20
20140228-155602-Ride.gpx,Long Ride,track21
20140228-215840-Ride.gpx,Long Ride,track22
20140307-165922-Ride.gpx,Long Ride,track23
20140308-000758-Ride.gpx,Long Ride,track24
20140308-150336-Ride.gpx,Long Ride,track25
20140308-233456-Ride.gpx,Long Ride,track26
20140309-040720-Ride.gpx,Long Ride,track27
20140309-162808-Ride.gpx,Long Ride,track28
20140309-202928-Ride.gpx,Long Ride,track29
20140311-122842-Ride.gpx,Long Ride,track30
20140311-224048-Ride.gpx,Long Ride,track31
20140312-121058-Ride.gpx,Long Ride,track32
20140312-191254-Ride.gpx,Long Ride,track33
20140314-210608-Ride.gpx,Long Ride,track34
20140315-041912-Ride.gpx,Around Town,track35
20140315-171842-Ride.gpx,Around Town,track36
20140316-165922-Ride.gpx,Around Town,track37
20140316-200058-Ride.gpx,Around Town,track38
20140316-203332-Ride.gpx,Around Town,track39
20140320-124640-Ride.gpx,Around Town,track40
20140320-222034-Ride.gpx,Around Town,track41
20140321-001636-Ride.gpx,Around Town,track42
20140321-142738-Ride.gpx,Around Town,track43
20140322-141102-Ride.gpx,Around Town,track44
20140323-221514-Ride.gpx,Around Town,track45
20140325-022944-Ride.gpx,Around Town,track46
20140326-144720-Ride.gpx,Around Town,track47
20140326-174730-Ride.gpx,Around Town,track48
20140327-193336-Ride.gpx,Around Town,track49
20140327-234054-Ride.gpx,Around Town,track50
20140328-140920-Ride.gpx,Around Town,track51
20140329-000030-Ride.gpx,Around Town,track52
20140329-171249-Ride.gpx,Around Town,track53
20140330-223744-Ride.gpx,Around Town,track54
20140331-133841-Ride.gpx,Around Town,track55
20140331-173012-Ride.gpx,Around Town,track56
20140401-130008-Ride.gpx,Around Town,track57
20140402-133903-Ride.gpx,Around Town,track58
20140402-232056-Ride.gpx,Around Town,track59
20140403-200017-Ride.gpx,Around Town,track60
20140403-234418-Ride.gpx,Around Town,track61
20140404-154319-Ride.gpx,Around Town,track62
20140404-182121-Ride.gpx,Around Town,track63
20140406-020043-Ride.gpx,Around Town,track64
20140406-050658-Ride.gpx,Around Town,track65
20140407-183021-Ride.gpx,Around Town,track66
20140407-225713-Ride.gpx,Around Town,track67
20140408-183224-Ride.gpx,Around Town,track68
20140408-215649-Ride.gpx,Around Town,track69
20140409-142446-Ride.gpx,Around Town,track70
20140409-231236-Ride.gpx,Around Town,track71
20140410-121717-Ride.gpx,Around Town,track72
20140410-193507-Ride.gpx,Around Town,track73
20140410-233938-Ride.gpx,Around Town,track74
20140411-145808-Ride.gpx,Around Town,track75
20140411-225342-Ride.gpx,Around Town,track76
20140412-004344-Ride.gpx,Around Town,track77
20140417-131030-Ride.gpx,Around Town,track78
20140417-200401-Ride.gpx,Around Town,track79
20140418-014428-Ride.gpx,Around Town,track80
20140418-124623-Ride.gpx,Around Town,track81
20140418-165359-Ride.gpx,Around Town,track82
20140418-200519-Ride.gpx,Around Town,track83
20140418-211857-Ride.gpx,Around Town,track84
20140419-223208-Ride.gpx,Around Town,track85
20140420-124558-Ride.gpx,Around Town,track86
20140421-161438-Ride.gpx,Around Town,track87
20140421-234930-Ride.gpx,Around Town,track88
20140422-012755-Ride.gpx,Around Town,track89
20140422-133611-Ride.gpx,Around Town,track90
20140422-154437-Ride.gpx,Around Town,track91
20140422-213841-Ride.gpx,Around Town,track92
20140423-122743-Ride.gpx,Around Town,track93
20140423-231107-Ride.gpx,Around Town,track94
20140424-120957-Ride.gpx,Around Town,track95
20140424-192024-Ride.gpx,Around Town,track96
20140424-235711-Ride.gpx,Around Town,track97
20140425-152135-Ride.gpx,Around Town,track98
20140425-222610-Ride.gpx,Around Town,track99
20140426-002341-Ride.gpx,Around Town,track100
20140426-014656-Ride.gpx,Around Town,track101
20140426-142358-Ride.gpx,Around Town,track102
20140428-142012-Ride.gpx,Around Town,track103
20140428-232142-Ride.gpx,Around Town,track104
20140429-011749-Ride.gpx,Around Town,track105
20140429-203647-Ride.gpx,Around Town,track106
20140429-214704-Ride.gpx,Around Town,track107
20140430-001843-Ride.gpx,Around Town,track108
20140430-155755-Ride.gpx,Around Town,track109
20140501-000013-Ride.gpx,Around Town,track110
20140501-123317-Ride.gpx,Around Town,track111
20140502-035106-Ride.gpx,Around Town,track112
20140502-151602-Ride.gpx,Around Town,track113
20140502-224328-Ride.gpx,Around Town,track114
20140503-030345-Ride.gpx,Around Town,track115
20140503-143347-Ride.gpx,Around Town,track116
20140503-231301-Ride.gpx,Around Town,track117
20140504-132507-Ride.gpx,Around Town,track118
20140504-202323-Ride.gpx,Around Town,track119
20140504-205202-Ride.gpx,Around Town,track120
20140505-132116-Ride.gpx,Around Town,track121
20140506-001452-Ride.gpx,Around Town,track122
20140507-023400-Ride.gpx,Around Town,track123
20140507-130316-Ride.gpx,Around Town,track124
20140507-212349-Ride.gpx,Around Town,track125
20140507-215224-Ride.gpx,Around Town,track126
20140507-234410-Ride.gpx,Around Town,track127
20140508-122517-Ride.gpx,Around Town,track128
20140508-220544-Ride.gpx,Around Town,track129
20140509-025949-Ride.gpx,Around Town,track130
20140509-043139-Ride.gpx,Around Town,track131
20140509-150836-Ride.gpx,Around Town,track132
20140509-220439-Ride.gpx,Around Town,track133
20140509-234121-Ride.gpx,Around Town,track134
20140510-023904-Ride.gpx,Around Town,track135
20140510-154927-Ride.gpx,Around Town,track136
20140510-201401-Ride.gpx,Around Town,track137
20140510-225319-Ride.gpx,Around Town,track138
20140511-145204-Ride.gpx,Around Town,track139
20140512-144858-Ride.gpx,Around Town,track140
20140513-000255-Ride.gpx,Around Town,track141
20140513-130350-Ride.gpx,Around Town,track142
20140513-224728-Ride.gpx,Around Town,track143
20140514-124711-Ride.gpx,Around Town,track144
20140514-233450-Ride.gpx,Around Town,track145
20140515-132337-Ride.gpx,Around Town,track146
20140516-165931-Ride.gpx,Around Town,track147
20140517-013012-Ride.gpx,Around Town,track148
20140517-041702-Ride.gpx,Around Town,track149
20140517-151506-Ride.gpx,Around Town,track150
20140518-142830-Ride.gpx,Around Town,track151
20140519-134916-Ride.gpx,Around Town,track152
20140520-043302-Ride.gpx,Around Town,track153
20140520-121645-Ride.gpx,Around Town,track154
20140520-225814-Ride.gpx,Around Town,track155
20140521-140742-Ride.gpx,Around Town,track156
20140522-011645-Ride.gpx,Around Town,track157
20140522-051201-Ride.gpx,Around Town,track158
20140522-135032-Ride.gpx,Around Town,track159
20140522-163548-Ride.gpx,Around Town,track160
20140523-050845-Ride.gpx,Around Town,track161
20140523-194645-Ride.gpx,Around Town,track162
20140523-205700-Ride.gpx,Around Town,track163
20140524-045350-Ride.gpx,Around Town,track164
20140525-154853-Ride.gpx,Around Town,track165
20140601-125756-Ride.gpx,Around Town,track166
20140601-144747-Ride.gpx,Around Town,track167
20140601-180707-Ride.gpx,Around Town,track168
20140602-125921-Ride.gpx,Around Town,track169
20140602-182724-Ride.gpx,Around Town,track170
20140604-170811-Ride.gpx,Around Town,track171
20140604-194144-Ride.gpx,Around Town,track172
20140604-213118-Ride.gpx,Around Town,track173
20140605-154405-Ride.gpx,Around Town,track174
20140605-214622-Ride.gpx,Around Town,track175
20140606-013626-Ride.gpx,Around Town,track176
20140606-112250-Ride.gpx,Around Town,track177
20140606-215027-Ride.gpx,Around Town,track178
20140607-000353-Ride.gpx,Around Town,track179
20140607-021426-Ride.gpx,Around Town,track180
20140607-154951-Ride.gpx,Around Town,track181
20140607-234143-Ride.gpx,Around Town,track182
20140608-155928-Ride.gpx,Around Town,track183
20140610-015104-Ride.gpx,Around Town,track184
20140612-220023-Ride.gpx,Around Town,track185
20140613-011108-Ride.gpx,Around Town,track186
20140613-155303-Ride.gpx,Around Town,track187
20140613-175852-Ride.gpx,Around Town,track188
20140614-212515-Ride.gpx,Around Town,track189
20140615-134925-Ride.gpx,Around Town,track190
20140618-144510-Ride.gpx,Around Town,track191
20140621-020232-Ride.gpx,Around Town,track192
20140621-041503-Ride.gpx,Around Town,track193
20140621-172205-Ride.gpx,Around Town,track194
20140623-151759-Ride.gpx,Around Town,track195
20140623-215021-Ride.gpx,Around Town,track196
20140623-232118-Ride.gpx,Around Town,track197
20140715-192202-Ride.gpx,Around Town,track198
20140717-214534-Ride.gpx,Around Town,track199
20140718-002924-Ride.gpx,Around Town,track200
20140718-140827-Ride.gpx,Around Town,track201
20140720-164235-Ride.gpx,Around Town,track202
20140720-194831-Ride.gpx,Around Town,track203
20140720-213007-Ride.gpx,Around Town,track204
20140720-222733-Ride.gpx,Around Town,track205
20140721-174519-Ride.gpx,Around Town,track206
20140721-214141-Ride.gpx,Around Town,track207
20140721-225254-Ride.gpx,Around Town,track208
20140723-214737-Ride.gpx,Around Town,track209
20140724-214911-Ride.gpx,Around Town,track210
20140725-012001-Ride.gpx,Around Town,track211
20140726-172959-Ride.gpx,Around Town,track212
20140726-190346-Ride.gpx,Around Town,track213
20140726-211451-Ride.gpx,Around Town,track214
20140726-221227-Ride.gpx,Around Town,track215
20140726-225402-Ride.gpx,Around Town,track216
20140728-115229-Ride.gpx,Around Town,track217
20140728-172552-Ride.gpx,Around Town,track218
20140728-220138-Ride.gpx,Around Town,track219
20140729-020854-Ride.gpx,Around Town,track220
20140810-220040-Ride.gpx,Around Town,track221
20140811-004541-Ride.gpx,Around Town,track222
20140811-142355-Ride.gpx,Around Town,track223
20140812-163238-Ride.gpx,Around Town,track224
20140812-203734-Ride.gpx,Around Town,track225
20140814-214452-Ride.gpx,Around Town,track226
20140814-235652-Ride.gpx,Around Town,track227
20140816-131608-Ride.gpx,Around Town,track228
