ID,Trip,Marker,City,Lat,Lng,DateLeft,Method,Reason,GPX
1,1,1,"Portland, OR",45.52,-122.6819,40061,Fly,Visit Home,
2,1,1,"Boston, MA",42.3601,-71.0589,40069,Fly,N/A,
3,2,1,"Portland, OR",45.52,-122.6819,40130,Fly,Touch Rugby,
4,2,1,Phoenix,33.45,-112.0667,40132,Fly,N/A,
5,3,1,"Portland, OR",45.52,-122.6819,40141,Fly,Visit Home,
6,3,1,"Boston, MA",42.3601,-71.0589,40144,Fly,N/A,
7,4,1,"Portland, OR",45.52,-122.6819,40164,Fly,Pre-Cadmus Trip,
8,4,1,"St. Louis, MO",38.6272,-90.1978,40165,Drive,N/A,GPX1
9,4,1,"Louisville, KY",38.25,-85.7667,40167,Fly,N/A,
10,4,1,"Boston, MA",42.3601,-71.0589,40178,Fly,N/A,
11,4,1,"Baltimore, MD",39.2833,-76.6167,40180,Drive,N/A,GPX2
12,4,1,"Washington, DC",38.9047,-77.0164,40181,Fly,N/A,
13,5,1,"Portland, OR",45.52,-122.6819,40305,Fly,Family Trip,
14,5,1,"Honolulu, HI",21.3,-157.8167,40308,Fly,N/A,
15,6,1,"Portland, OR",45.52,-122.6819,40370,Fly,Counting Lightbulbs and Visiting Trevor,
16,6,1,"Kansas City, KS",39.1067,-94.6764,40375,Fly,N/A,
17,6,1,"Chicago, IL",41.8369,-87.6847,40377,Fly,N/A,
18,7,1,"Portland, OR",45.52,-122.6819,40423,Fly,Visit Home,
19,7,1,"Boston, MA",42.3601,-71.0589,40427,Fly,N/A,
20,8,1,"Portland, OR",45.52,-122.6819,40444,Fly,Touch Rugby,
21,8,1,"Orlando, FL",28.4158,-81.2989,40447,Fly,N/A,
22,9,1,"Portland, OR",45.52,-122.6819,40506,Fly,Visit Home,
23,9,1,"Boston, MA",42.3601,-71.0589,40510,Fly,N/A,
24,10,1,"Portland, OR",45.52,-122.6819,40487,Fly,Visit Lori,
25,10,1,"Los Angeles, CA",34.05,-118.25,40489,Fly,N/A,
26,11,1,"Portland, OR",45.52,-122.6819,40515,Fly,Touch Rugby,
27,11,1,"San Francisco, CA",37.7833,-122.4167,40517,Fly,N/A,
28,12,1,"Portland, OR",45.52,-122.6819,40535,Fly,Visit Home and New Rears,
29,12,1,"Boston, MA",42.3601,-71.0589,40542,Fly,N/A,
30,12,1,"Washington, DC",38.9047,-77.0164,40544,Fly,N/A,
31,13,1,"Portland, OR",45.52,-122.6819,40745,Fly,Visit Lori with Tedros,
32,13,1,"Los Angeles, CA",34.05,-118.25,40748,Fly,N/A,
33,14,1,"Portland, OR",45.52,-122.6819,40766,Fly,Visit Home and NYC,
34,14,1,"Boston, MA",42.3601,-71.0589,40773,Train,N/A,GPX3
35,14,1,"New York, NY",40.7127,-74.0059,40776,Fly,N/A,
36,15,1,"Portland, OR",45.52,-122.6819,40815,Fly,Work Trip to Reno,
